index,name,platform,rating,release_year
2141,Dance Dance Revolution 2nd ReMIX,PS,NaN,NaN
2148,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,NaN,NaN
2163,Disney Infinity 2.0: Marvel Super Heroes,PS3,NaN,NaN
2167,Mega Man Star Force Dragon / Leo / Pegasus,DS,NaN,NaN
2170,Wild ARMs,PS,E,1997
2189,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,NaN,NaN
2191,Rocksmith 2014,X360,NaN,NaN
2212,Bentley's Hackpack,GBA,NaN,NaN
2217,Crash City Mayhem,GBA,T,2013
2231,Inazuma Eleven 3,DS,NaN,NaN
2250,NHL 98,PS,E,1997
2251,Space Jam,PS,E,1996
2253,Knockout Kings 2000,N64,T,1999
2261,Tobal No.1,PS,NaN,NaN
2267,EA Sports Grand Slam Tennis,Wii,NaN,NaN
2285,Super Momotarou Dentetsu III,SNES,NaN,NaN
2292,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,NaN,NaN
2300,Destruction Derby,PS,E,1995
2331,Pokemon Card GB2: Here Comes Team GR!,GB,NaN,NaN
2347,SingStar Anthems,PS2,NaN,2006
2349,Seiken Densetsu 3,SNES,NaN,1995
2354,Mega Man 8 Anniversary Collector's Edition,PS,NaN,NaN
2360,Minecraft: Story Mode,X360,NaN,2015
2381,Derby Stallion II,SNES,NaN,NaN
2385,Metal Gear Ac!d,PSP,NaN,NaN
2387,Monster Strike 3DS,3DS,NaN,NaN
2390,Peppa Pig: The Game,DS,NaN,2009
2392,NFL GameDay '97,PS,E,1996
2398,Buzz! Master Quiz,PSP,E10+,2008
2408,Enduro,2600,NaN,1983
2434,Castlevania III: Dracula's Curse,NES,NaN,NaN
2443,NFL GameDay,PS,E,1996
2483,FIFA Soccer World Championship,PS2,NaN,NaN
2487,Yu-Gi-Oh! Dark Duel Stories,GB,E,2002
2496,Casper,PS,E,1996
2516,Custer's Revenge,2600,NaN,NaN
2521,Thief (2014),PS4,NaN,NaN
2523,Dragon Warrior III,GB,NaN,1992
2526,Kamaitachi no Yoru,SNES,NaN,1994
2531,Twisted Metal (2012),PS3,NaN,NaN
2533,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,NaN,NaN
2538,Final Fantasy Type-0,PSP,NaN,NaN
2546,The Next Tetris,PS,NaN,NaN
2549,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,NaN,NaN
2558,Moto Racer,PS,E,1997
2570,Super Robot Taisen α,PS,NaN,NaN
2572,PES 2009: Pro Evolution Soccer,PSP,NaN,2008
2575,Capcom's Soccer Shootout,SNES,NaN,NaN
2578,Alien,2600,NaN,1982
2586,Momotarou Dentetsu 7,PS,NaN,NaN
2597,Dragon Quest Monsters 2,3DS,NaN,NaN
2601,The Amazing Spider-Man (Console Version),PS3,NaN,NaN
2627,Battle Stations,PS,NaN,NaN
2633,Torneko no Daibouken: Fushigi no Dungeon,SNES,NaN,NaN
2634,Jr. Pac-Man,2600,NaN,1986
2640,Galaxian,2600,NaN,1983
2643,Andretti Racing,PS,E,1996
2644,Caesars Palace 2000: Millennium Gold Edition,PS,NaN,NaN
2645,Air Raid,2600,NaN,1984
2650,Boxing,2600,NaN,1980
2660,Dragon Warrior I&II,GB,E,2000
2663,Conflict: Desert Storm II - Back to Bagdhad,PS2,NaN,NaN
2682,MTV Celebrity Deathmatch,PS2,M,2003
2689,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,NaN,NaN
2691,Final Fantasy II,NES,NaN,1988
2692,Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,NaN,NaN
2693,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,NaN,NaN
2694,Doom (2016),XOne,NaN,NaN
2711,Final Fantasy Legend III,GB,E,1993
2715,Super Monkey Ball: Touch & Roll,DS,E,2006
2717,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,NaN,NaN
2737,We Sing,Wii,NaN,2016
2745,Jump Ultimate Stars,DS,NaN,2006
2746,Jampack Summer 2001,PS2,NaN,NaN
2751,Rhythm Heaven: The Best+,3DS,NaN,NaN
2769,Jet Moto 3,PS,E,1999
2788,FIFA: Road to World Cup 98,PS,NaN,1997
2789,The Amazing Spider-Man (Console Version),X360,NaN,NaN
2790,Dragon Ball Z: Ultime Menace,SNES,NaN,NaN
2791,The Walking Dead: Season One,X360,NaN,NaN
2796,Yoshi,GB,NaN,1992
2802,Practise English!,DS,NaN,NaN
2805,Berzerk,2600,NaN,1982
2825,SD Gundam G Generation,PS,NaN,NaN
2827,God Eater,PSP,NaN,NaN
2838,Kouchuu Ouja Mushi King,GBA,NaN,NaN
2843,Jampack Winter 2001,PS2,NaN,NaN
2844,Kangaroo,2600,NaN,1983
2886,"WarioWare, Inc.: Mega Party Game$",GC,NaN,NaN
2891,Jeopardy!,PS,NaN,NaN
2911,NCAA Football 98,PS,E,1997
2932,Fire Emblem: Monsh? no Nazo,SNES,NaN,1994
2935,King Kong,2600,NaN,1982
2936,Minecraft: Story Mode,PS4,NaN,2015
2937,Moto Racer 2,PS,E,1998
2943,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,NaN,NaN
2944,Minecraft: Story Mode,PS3,NaN,2015
2951,J-League Soccer: Prime Goal,SNES,NaN,NaN
2973,Minecraft,WiiU,NaN,2010
2977,Mortal Kombat Mythologies: Sub-Zero,PS,M,1997
2989,Tourist Trophy: The Real Riding Simulator,PS2,E,2006
3001,Contra: Legacy of War,PS,T,1996
3002,Fight Night Round 2004,XB,NaN,NaN
3004,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,NaN,NaN
3009,Taiko no Tatsujin Wii,Wii,NaN,NaN
3010,London 2012: The Official Video Game of the Olympic Games,PS3,NaN,NaN
3016,Summer Sports: Paradise Island (Others sales),Wii,NaN,NaN
3017,Need for Speed: Shift 2 Unleashed,PS3,NaN,NaN
3018,The Fairly Odd Parents: Breakin Da Rules,PS2,NaN,NaN
3019,Virtua Tennis: World Tour (US & Others sales),PSP,NaN,NaN
3021,Adventures of Tron,2600,NaN,1983
3027,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,NaN,NaN
3040,Naruto Shippuden: Ultimate Ninja 4,PS2,NaN,2007
3049,Jikkyou World Soccer 2000 Final Edition,PS2,NaN,NaN
3054,100 Classic Books,DS,NaN,NaN
3055,Puzzler Brain Games,Wii,NaN,2013
3057,Dragon Quest Monsters: Caravan Heart,GBA,NaN,2003
3082,Taiko no Tatsujin DS: Touch de Dokodon!,DS,NaN,NaN
3087,Rocksmith 2014,PC,NaN,NaN
3088,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,NaN,NaN
3089,Ratchet & Clank: Into the Nexus,PS3,E10+,2013
3093,Peppa Pig: Fun and Games,DS,NaN,2010
3099,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,NaN,NaN
3101,World of Dragon Warrior - Torneko: The Last Hope,PS,T,2000
3103,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,NaN,NaN
3107,Centipede,PS,E,1999
3110,SingStar Pop Hits,PS2,NaN,2007
3111,Kung-Fu Master,2600,NaN,1987
3115,SingStar R&B,PS2,NaN,NaN
3118,Disney Infinity 2.0: Marvel Super Heroes,WiiU,NaN,NaN
3121,Super Robot Taisen Impact,PS2,NaN,2002
3125,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,NaN,NaN
3140,Paws & Claws: Pet Vet,DS,NaN,2005
3148,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,NaN,NaN
3151,New Play Control! Pikmin,Wii,NaN,NaN
3159,SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,NaN,NaN
3163,Jampack Volume 13 (RP-T),PS2,NaN,NaN
3177,Dragon Quest Monsters Joker 3,3DS,NaN,NaN
3184,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,NaN,NaN
3187,Monster Hunter 2,PS2,NaN,NaN
3194,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,NaN,NaN
3200,Rocksmith 2014,PS4,NaN,NaN
3201,X-Man,2600,NaN,1983
3216,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,NaN,NaN
3221,Nobunaga no Yabou: Haouden,SNES,NaN,NaN
3239,Disney Infinity 2.0: Marvel Super Heroes,PS4,NaN,NaN
3246,Halloween,2600,NaN,2002
3248,Bass Landing,PS,E,1999
